web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image,image2
"1775684151-97","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Ultimate Car Polish","473 ml","₹1,035","₹1,125","8%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/62ad7075-ea0c-46a7-b489-a90e9815d287.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-98","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Studds Raider Full Face Helmet with Spoiler and Clear Visor - L","1 unit","₹1,288","₹1,495","13%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/da35317f-8c48-49f1-8619-470277418ae1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-99","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","3M Auto Specialty Tyre Polish","250 ml","₹359","₹459","21%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cef07403-63e9-4532-8a90-39b0755dd4a5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-100","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","GoMechanic Microfiber Cloth for Car Cleaning","4 pcs","₹499","","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770287955535-306.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-101","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Hybrid Ceramic Spray Car Wax","1 pc","₹1,684","₹1,899","11%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/616c1f49-9631-4cc0-9a6d-7fdcc3406992.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-102","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Ultimate Compound Body Polishing Oil","450 ml","₹1,155","₹1,299","11%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0d8997df-1644-486f-9db5-322582150c4b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-103","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Car Bumper Protector","4 pcs","₹379","₹499","24%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/da3da3d7-56f3-49a0-98f7-c5f4a5643bfd.png",""
"1775684151-104","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Car Door Protector Set","4 pcs","₹209","₹399","47%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/30ded16e-e47e-4ea9-b158-ce7c2e1ff1bf.png",""
"1775684151-105","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Car Door Seal Strip","1 pc","₹289","₹299","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f0ffa32b-b943-40ab-9dd7-50ae171cca9c.png",""
"1775684151-106","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Hanging Tissue Box","1 pc","₹369","₹449","17%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fb4ca96a-0d11-4ce8-a02f-97a750928e0b.png",""
