web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1775683994-67","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Nabaiji by Decathlon Men's Swim Shorts (Green)","₹649","₹899","27%
OFF","ADD","1 unit",""
"1775683994-68","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Nabaiji by Decathlon Women's Heva Skirt Swim Suit (Purple)","₹1,029","₹1,299","20%
OFF","ADD","1 pc",""
"1775683994-69","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Toyshine Float Tube Rings for Kids","₹112","₹599","81%
OFF","ADD","1 pair",""
"1775683994-70","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Adjustable Skipping Rope","₹224","₹699","67%
OFF","ADD","1 pc",""
"1775683994-71","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Bicycle Long Aluminium Air Pump with Needle (Black, Orange)","₹439","₹599","26%
OFF","ADD","1 pc",""
"1775683994-72","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Men's Full Sleeve Swim Suit Tshirt (Black)","₹599","₹1,299","53%
OFF","ADD","1 pc",""
"1775683994-73","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Men's Stretchable Swim Shorts (Black)","₹500","₹799","37%
OFF","ADD","1 pc","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773123918145-532.png"
"1775683994-74","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Warrior Gym Gloves","₹249","₹799","68%
OFF","ADD","1 pair","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770637399754-363.png"
"1775683994-75","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Cosco CZ 50 Aluminium Badminton Racket (Red, Black)","₹568","₹685","17%
OFF","ADD","1 set","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f0b4b750-99bc-40c5-b5d7-71e67daabfa6.png"
"1775683994-76","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Toyshine Intex 4 Feet Kids Pool","₹699","₹1,799","61%
OFF","ADD","1 pc","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cdd0488c-751b-42d4-8c75-d85c096d3e86.png"
